Last updated: 2023-09-29									
Mtg #	Drug Generic Name	Drug Brand Name	Drug Class	FDA-Approved Indications	Pharmacologic Activity	Drug Target	Target Class & Location	Target Normal Role (Physiology)	Mechanism of Action (MOA)
	metformin	Glucophage, Glumetza, Riomet	antidiabetic agent, biguanide 	diabetes mellitus, type 2 (T2DM)	activator	AMP-activated protein kinase (AMPK)	heterotrimeric kinase expressed in liver cells [and all cells]	Normally, AMP-activated protein kinase (AMPK) is a master regulator of cellular energy homeostasis that responds to changes in the ratio of [AMP] to [ATP]. When cellular energy is low, AMPK is activated and prompts a switch from ATP-utilizing anabolic pathways to ATP-producing catabolic pathways. In the liver, especially, glycolysis is stimulated while the expression of genes for enzymes involved in gluconeogenesis is repressed. The net outcome is that glucose is transported from the blood into liver cells and then catabolized to produce ATP.	Biguanides activate AMPK in liver cells to stimulate glycolytic processes that would be active under conditions of low ATP concentration and repression of the expression of genes for enzymes involved in gluconeogenesis. The net outcome is that glucose is transported from the blood into liver cells and then catabolized (to produce ATP), thereby lowering the blood glucose conentration.
	metformin + sitagliptin	Janumet							
	Week 06								
11	atorvastatin	Lipitor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase			
11	lovastatin	Mevacor; Altoprev	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase			
11	pravastatin	Pravachol	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase			
11	rosuvastatin	Crestor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase			
11	simvastatin	Zocor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase			
11	ezetimibe	Zetia	antilipemic agent, 2-azetidinone 	hypercholesterolemia	reversible non-competitve inhibitor	Niemann-Pick C1-Like 1 (NPC1L1)			
11	fenofibrate	Tricor	antilipemic agent, fibric acid	hypercholesterolemia	agonist	PPAR-alpha			
11	lidocaine	Xylocaine	antiarrhythmic agent, class Ib; local anesthetic	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated sodium (NaV) channels			
11	amiodarone	Cordarone	antiarrhythmic agent, class III	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated potassium (KV) channels			
11	dofetilide	Tikosyn	antiarrhythmic agent, class III	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated potassium (KV) channels			
11	diltiazem	Cardizem	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive [SFS note: diltiazem is a benzthiazepine, but that is not part of the drug class]	hypertension, angina, atrial fibrillation, and supraventricular tachycardia (SVT)	blocker	voltage-gated calcium (CaV) channel [L-type]			
11	verapamil	Verelan	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive	hypertension, angina, atrial fibrillation, and supraventricular tachycardia (SVT)	blocker	voltage-gated calcium (CaV) channel [L-type]			
12	losartan	Cozaar	antihypertensive, angiotensin II receptor blocker (ARB)	hypertension	reversible orthosteric antagonist	angiotensin II type 1 receptor (AT1R)			
12	valsartan	Diovan	antihypertensive, angiotensin II receptor blocker (ARB)	hypertension	reversible orthosteric antagonist	angiotensin II type 1 receptor (AT1R)			
12	benazepril	Lotensin	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)			
12	enalapril	Vasotec; Epaned	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)			
12	lisinopril	Zestril; Qbrelis	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)			
12	ramipril	Altace	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)			
12	furosemide	Lasix	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)			
12	bumetanide	Bumex	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)			
12	torsemide	Soaanz	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)			
12	triamterene	Dyrenium	potassium-sparing diuretic; antihypertensive	hypertension; edema -- for patients who develop hypokalemia on HCTZ alone	blocker	ENaC			
12	spironolactone	Aldactone; CaroSpir	potassium-sparing diuretic; antihypertensive; mineralocorticoid receptor antagonist (MRA)	heart failure with reduced ejection fraction (HFrEF); hypertension; edema 	reversible orthosteric antagonist 	mineralocorticoid receptor (aka aldosterone receptor)			
12	hydrochlorothiazide	Microzide	thiazide diuretic; antihypertensive	hypertension; edema	blocker	NCC symporter (Na+, Cl- co-transporter)			
12	chlorthalidone	N/A	thiazide-like diuretic	hypertension; edema	blocker	NCC symporter (Na+, Cl- co-transporter)			
12	lisinopril + hydrochlorothiazide	Zestoretic							
12	triamterene + hydrochlorothiazide	Maxzide							
12	valsartan + hydrochlorothiazide	Diovan HCT							
	Week 07								
